final\train\images\0000000.jpg;final\train\labels\0000000.txt
final\train\images\0000001.jpg;final\train\labels\0000001.txt
final\train\images\0000002.jpg;final\train\labels\0000002.txt
final\train\images\0000003.jpg;final\train\labels\0000003.txt
final\train\images\0000004.jpg;final\train\labels\0000004.txt
final\train\images\0000005.jpg;final\train\labels\0000005.txt
final\train\images\0000006.jpg;final\train\labels\0000006.txt
final\train\images\0000007.jpg;final\train\labels\0000007.txt
final\train\images\0000008.jpg;final\train\labels\0000008.txt
final\train\images\0000009.jpg;final\train\labels\0000009.txt
final\train\images\0000010.jpg;final\train\labels\0000010.txt
final\train\images\0000011.jpg;final\train\labels\0000011.txt
final\train\images\0000012.jpg;final\train\labels\0000012.txt
final\train\images\0000013.jpg;final\train\labels\0000013.txt
final\train\images\0000014.jpg;final\train\labels\0000014.txt
final\train\images\0000015.jpg;final\train\labels\0000015.txt
final\train\images\0000016.jpg;final\train\labels\0000016.txt
final\train\images\0000017.jpg;final\train\labels\0000017.txt
final\train\images\0000018.jpg;final\train\labels\0000018.txt
final\train\images\0000019.jpg;final\train\labels\0000019.txt
final\train\images\0000020.jpg;final\train\labels\0000020.txt
final\train\images\0000021.jpg;final\train\labels\0000021.txt
final\train\images\0000022.jpg;final\train\labels\0000022.txt
final\train\images\0000023.jpg;final\train\labels\0000023.txt
final\train\images\0000024.jpg;final\train\labels\0000024.txt
final\train\images\0000025.jpg;final\train\labels\0000025.txt
final\train\images\0000026.jpg;final\train\labels\0000026.txt
final\train\images\0000027.jpg;final\train\labels\0000027.txt
final\train\images\0000028.jpg;final\train\labels\0000028.txt
final\train\images\0000029.jpg;final\train\labels\0000029.txt
final\train\images\0000030.jpg;final\train\labels\0000030.txt
final\train\images\0000031.jpg;final\train\labels\0000031.txt
final\train\images\0000032.jpg;final\train\labels\0000032.txt
final\train\images\0000033.jpg;final\train\labels\0000033.txt
final\train\images\0000034.jpg;final\train\labels\0000034.txt
final\train\images\0000035.jpg;final\train\labels\0000035.txt
final\train\images\0000036.jpg;final\train\labels\0000036.txt
final\train\images\0000037.jpg;final\train\labels\0000037.txt
final\train\images\0000038.jpg;final\train\labels\0000038.txt
final\train\images\0000039.jpg;final\train\labels\0000039.txt
final\train\images\0000040.jpg;final\train\labels\0000040.txt
final\train\images\0000041.jpg;final\train\labels\0000041.txt
final\train\images\0000042.jpg;final\train\labels\0000042.txt
final\train\images\0000043.jpg;final\train\labels\0000043.txt
final\train\images\0000044.jpg;final\train\labels\0000044.txt
final\train\images\0000045.jpg;final\train\labels\0000045.txt
final\train\images\0000046.jpg;final\train\labels\0000046.txt
final\train\images\0000047.jpg;final\train\labels\0000047.txt
final\train\images\0000048.jpg;final\train\labels\0000048.txt
final\train\images\0000049.jpg;final\train\labels\0000049.txt
final\train\images\0000050.jpg;final\train\labels\0000050.txt
final\train\images\0000051.jpg;final\train\labels\0000051.txt
final\train\images\0000052.jpg;final\train\labels\0000052.txt
